word	occu	freq-per-mill	usual	rank	racio
,	230	79173.84	370370.37	0	0.21
que	141	48537.01	103092.78	7	0.47
de	131	45094.66	119817.33	2	0.38
em	122	41996.56	46683.19	10	0.90
ser	118	40619.62	39347.54	36	1.03
o	107	36833.05	97949.71	6	0.38
.	106	36488.81	175438.60	3	0.21
a	86	29604.13	102501.36	5	0.29
e	63	21686.75	149253.73	4	0.15
um	52	17900.17	56115.76	13	0.32
estar	48	16523.24	6493.68	238	2.54
eu	39	13425.13	13118.02	63	1.02
por	37	12736.66	34343.23	22	0.37
pessoa	31	10671.26	9546.23	244	1.12
também	31	10671.26	19723.87	48	0.54
mais	29	9982.79	36101.08	25	0.28
não	28	9638.55	42194.09	21	0.23
para	27	9294.32	72992.70	11	0.13
ativismo	25	8605.85	38.58	24096	223.09
ter	22	7573.15	7842.75	80	0.97
ou	21	7228.92	28011.20	33	0.26
muito	20	6884.68	13648.46	50	0.50
se	20	6884.68	35670.83	24	0.19
achar	19	6540.45	1429.18	2396	4.58
com	17	5851.98	64060.20	12	0.09
como	17	5851.98	31545.74	29	0.19
?	16	5507.75	19342.36	49	0.28
coisa	16	5507.75	3687.35	267	1.49
quando	15	5163.51	13568.52	71	0.38
grupo	15	5163.51	2115.13	248	2.44
mas	14	4819.28	21413.28	44	0.23
outro	13	4475.04	5931.10	167	0.75
mesmo	13	4475.04	12420.44	66	0.36
haver	13	4475.04	6406.24	1765	0.70
querer	13	4475.04	1552.23	1953	2.88
todo	13	4475.04	8731.63	131	0.51
ir	12	4130.81	2411.06	439	1.71
Braga	11	3786.57	259.76	3847	14.58
Palestina	11	3786.57	75.22	13291	50.34
tentar	11	3786.57	887.89	969	4.26
momento	10	3442.34	4170.74	201	0.83
este	10	3442.34	7039.46	83	0.49
então	10	3442.34	5032.71	196	0.68
isso	10	3442.34	13755.16	70	0.25
causa	10	3442.34	1174.37	498	2.93
fazer	9	3098.11	9782.74	82	0.32
assim	9	3098.11	8354.22	117	0.37
ele	9	3098.11	12123.24	62	0.26
porque	9	3098.11	7651.11	128	0.40
conseguir	9	3098.11	585.77	850	5.29
importante	9	3098.11	3474.37	241	0.89
dizer	8	2753.87	2292.28	318	1.20
agora	8	2753.87	5109.86	193	0.54
começar	8	2753.87	577.53	861	4.77
só	8	2753.87	10131.71	96	0.27
participar	8	2753.87	1046.35	953	2.63
organização	8	2753.87	1077.77	702	2.56
bocadinho	8	2753.87	72.07	13872	38.21
continuar	8	2753.87	370.59	1182	7.43
coletivo	8	2753.87	177.23	3507	15.54
protesto	8	2753.87	143.79	5970	19.15
ano	7	2409.64	13694.45	93	0.18
tudo	7	2409.64	8952.55	109	0.27
altura	7	2409.64	1008.37	989	2.39
meu	7	2409.64	7234.11	137	0.33
construir	7	2409.64	537.14	1859	4.49
dentro	7	2409.64	4224.76	234	0.57
esse	7	2409.64	5799.74	125	0.42
termos	7	2409.64	1385.62	719	1.74
ela	7	2409.64	9930.49	98	0.24
envolver	6	2065.40	52.60	5985	39.26
gostar	6	2065.40	346.63	3470	5.96
movimento	6	2065.40	937.33	768	2.20
ver	6	2065.40	4203.41	197	0.49
falar	6	2065.40	1403.34	409	1.47
quem	6	2065.40	7593.01	129	0.27
algo	6	2065.40	3487.97	284	0.59
vez	6	2065.40	6091.89	108	0.34
ativista	6	2065.40	68.50	15177	30.15
universidade	5	1721.17	345.22	2894	4.99
bocado	5	1721.17	83.74	11939	20.55
conhecer	5	1721.17	994.00	636	1.73
