palavra,lema,pos,entidade,dependencia,ranking
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Carolina,Carolina,PROPN,PER,appos,5023
Motta,Motta,PROPN,PER,flat:name,15242
PG56348,PG56348,PROPN,PER,flat:name,-
Entrevistada,Entrevistada,NOUN,PER,acl,178437
:,:,PUNCT,-,punct,27
Vitória,Vitória,PROPN,PER,appos,2881
Ramos,Ramos,PROPN,PER,flat:name,4698
Descrição,descrição,NOUN,PER,appos,2218
:,:,PUNCT,PER,punct,27
Entrevista,entrevista,NOUN,-,ROOT,13400
sobre,sobre,ADP,-,case,55
a,o,DET,-,det,5
nossa,nosso,DET,-,det,190
história,história,NOUN,-,nmod,200
de,de,ADP,-,case,2
amor,amor,PROPN,-,nmod,357
",",",",PUNCT,-,punct,0
com,com,ADP,-,case,12
perguntas,pergunta,NOUN,-,nmod,2184
e,e,CCONJ,-,cc,4
respostas,resposta,NOUN,-,conj,2209
que,que,PRON,-,nsubj,7
revelam,revelar,VERB,-,acl:relcl,8001
momentos,momento,NOUN,-,obj,819
importantes,importante,ADJ,-,amod,783
do,de o,ADP,-,case,8
nosso,nosso,DET,-,det,173
relacionamento,relacionamento,NOUN,-,nmod,1557
à,a o,ADP,-,case,43
distância,distância,NOUN,-,nmod,1294
.,.,PUNCT,-,punct,3
Unidade,Unidade,PROPN,MISC,ROOT,3094
Curricular,Curricular,PROPN,MISC,flat:name,17873
:,:,PUNCT,MISC,punct,27
Análise,Análise,PROPN,-,ROOT,3614
e,e,CCONJ,-,flat:name,4
Visualização,Visualização,PROPN,MISC,flat:name,38152
de,de,ADP,MISC,case,2
Dados,Dados,PROPN,MISC,nmod,3556
–,–,PUNCT,MISC,punct,61
Mestrado,Mestrado,NOUN,MISC,appos,2398
em,em,ADP,-,case,10
Humanidades,Humanidades,PROPN,MISC,nmod,29346
Digitais,Digitais,PROPN,MISC,flat:name,16053
Um,Um,PROPN,-,det,174
Oceano,Oceano,PROPN,LOC,flat:name,10552
de,de,ADP,LOC,case,2
Amor,Amor,PROPN,LOC,nmod,3071
Entrevistadora,entrevistadora,NOUN,LOC,ROOT,384736
:,:,PUNCT,LOC,punct,27
Oi,Oi,PROPN,ORG,ROOT,2453
",",",",PUNCT,-,punct,0
boa,bom,ADJ,-,amod,297
noite,noite,NOUN,-,obl,358
.,.,PUNCT,-,punct,3
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Oi,Oi,PROPN,-,ROOT,2453
",",",",PUNCT,-,punct,0
boa,bom,ADJ,-,amod,297
noite,noite,NOUN,-,obl,358
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,obl,384736
:,:,PUNCT,MISC,punct,27
Eu,eu,PRON,MISC,nsubj,171
te,te,PRON,MISC,obj,398
chamei,chameir,VERB,-,ROOT,27647
aqui,aqui,ADV,-,advmod,140
pra,pra,SCONJ,-,mark,161
fazer,fazer,VERB,-,advcl,82
uma,um,DET,-,det,15
entrevista,entrevista,NOUN,-,obj,1267
com,com,ADP,-,case,12
você,você,PRON,-,nmod,54
",",",",PUNCT,-,punct,0
cujo,cujo,DET,-,det,1685
tema,tema,NOUN,-,nsubj,593
é,ser,AUX,-,cop,14
a,o,DET,-,det,5
nossa,nosso,DET,-,det,190
história,história,NOUN,-,ccomp,200
de,de,ADP,-,case,2
amor,amor,NOUN,-,nmod,357
.,.,PUNCT,-,punct,3
Pra,pra,ADP,-,case,3691
isso,isso,PRON,-,obl,70
",",",",PUNCT,-,punct,0
eu,eu,PRON,-,nsubj,63
queria,querer,VERB,-,ROOT,975
pedir,pedir,VERB,-,xcomp,1649
inicialmente,inicialmente,ADV,-,advmod,3169
pra,pra,ADP,-,mark,161
você,você,PRON,-,nsubj,54
se,se,PRON,-,expl,24
apresentar,apresentar,VERB,-,advcl,1023
.,.,PUNCT,-,punct,3
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Meu,meu,DET,-,det,1601
nome,nome,NOUN,-,nsubj,211
é,ser,AUX,-,cop,14
Vitória,vitória,PROPN,LOC,ROOT,2881
Ramos,Ramos,PROPN,LOC,flat:name,4698
",",",",PUNCT,-,punct,0
tenho,ter,VERB,-,parataxis,301
26,26,NUM,-,nummod,1079
anos,ano,NOUN,-,obj,64
",",",",PUNCT,-,punct,0
moro,morar,VERB,-,conj,8948
em,em,ADP,-,case,10
Portugal,Portugal,PROPN,LOC,obl,463
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
sou,ser,AUX,-,cop,525
brasileira,brasileira,ADJ,-,conj,678
e,e,CCONJ,-,cc,4
estou,estar,AUX,-,cop,381
aqui,aqui,ADV,-,advmod,140
já,já,ADV,-,advmod,57
há,haver,VERB,-,advcl,114
três,três,NUM,-,nummod,183
anos,ano,NOUN,-,obj,64
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
sou,ser,AUX,-,cop,525
sua,seu,DET,-,det,37
namorada,namorada,NOUN,-,ROOT,5105
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Perfeito,perfeito,NOUN,-,ROOT,9738
",",",",PUNCT,-,punct,0
Vitória,vitória,NOUN,LOC,appos,2881
.,.,PUNCT,-,punct,3
Sobre,sobre,ADP,-,case,1908
a,o,DET,-,det,5
nossa,nosso,DET,-,det,190
história,história,NOUN,-,obl,200
",",",",PUNCT,-,punct,0
você,você,PRON,-,nsubj,54
se,se,PRON,-,expl,24
lembra,lembrar,VERB,-,ROOT,2772
da,de o,ADP,-,case,9
primeira,primeiro,ADJ,-,amod,166
mensagem,mensagem,NOUN,-,obj,1216
ou,ou,CCONJ,-,cc,33
conversa,conversa,NOUN,-,conj,1874
que,que,SCONJ,-,mark,7
tivemos,ter,VERB,-,acl:relcl,3137
pela,por o,ADP,-,case,51
internet,Internet,PROPN,-,obl,613
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Sim,sim,ADV,-,advmod,1545
",",",",PUNCT,-,punct,0
lembro,lembrar,VERB,-,ROOT,4137
.,.,PUNCT,-,punct,3
Foi,foi,SCONJ,-,cop,344
pelo,por o,ADP,-,case,45
Instagram,Instagram,PROPN,PER,ROOT,3264
",",",",PUNCT,-,punct,0
depois,depois,SCONJ,-,mark,136
que,que,SCONJ,-,fixed,7
eu,eu,PRON,-,nsubj,63
comentei,comentar,VERB,-,advcl,17507
uma,um,DET,-,det,15
foto,foto,NOUN,-,obj,1033
sua,seu,DET,-,det,37
.,.,PUNCT,-,punct,3
Passados,passados,VERB,-,advcl,22153
uns,um,DET,-,det,860
dias,dia,NOUN,-,obl,144
",",",",PUNCT,-,punct,0
você,você,PRON,-,nsubj,54
me,eu,PRON,-,obj,86
mandou,mandar,VERB,-,advcl,5022
uma,um,DET,-,det,15
cantada,cantada,NOUN,-,obj,18300
e,e,CCONJ,-,cc,4
depois,depois,ADV,-,advmod,136
disso,de isso,PRON,-,conj,273
",",",",PUNCT,-,punct,0
começamos,começar,VERB,-,ROOT,8179
a,a,SCONJ,-,mark,5
conversar,conversar,VERB,-,xcomp,3398
pelo,por o,ADP,-,case,45
Instagram,Instagram,PROPN,PER,obl,3264
",",",",PUNCT,-,punct,0
depois,depois,ADV,-,advmod,136
eu,eu,PRON,-,nsubj,63
pedi,pedir,VERB,-,advcl,8694
seu,seu,DET,-,det,42
número,número,NOUN,-,obj,288
e,e,CCONJ,-,cc,4
começamos,começar,VERB,-,conj,8179
a,a,SCONJ,-,mark,5
trocar,trocar,VERB,-,xcomp,3085
mensagens,mensagem,NOUN,-,obj,2011
também,também,ADV,-,advmod,48
pelo,por o,ADP,-,case,45
WhatsApp,WhatsApp,NOUN,MISC,obl,5765
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
