palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
viver,4,7827.79,0.01,976.0,782778.86
presente,4,7827.79,0.01,408.0,782778.86
encontro,4,7827.79,0.01,881.0,782778.86
incrível,3,5870.84,0.01,1746.0,587084.15
perguntas,3,5870.84,0.01,2184.0,587084.15
difícil,3,5870.84,0.01,689.0,587084.15
vitória,3,5870.84,0.01,1237.0,587084.15
chamou,3,5870.84,0.01,3238.0,587084.15
carinho,3,5870.84,0.01,2385.0,587084.15
atenção,3,5870.84,0.01,523.0,587084.15
lembra,3,5870.84,0.01,2772.0,587084.15
sentimento,3,5870.84,0.01,2432.0,587084.15
começo,3,5870.84,0.01,1760.0,587084.15
mensagens,3,5870.84,0.01,2011.0,587084.15
esperava,3,5870.84,0.01,4774.0,587084.15
noite,3,5870.84,0.01,358.0,587084.15
queria,3,5870.84,0.01,975.0,587084.15
relacionamento,2,3913.89,0.01,1557.0,391389.43
começamos,2,3913.89,0.01,8179.0,391389.43
ramos,2,3913.89,0.01,7635.0,391389.43
engraçada,2,3913.89,0.01,16690.0,391389.43
quiz,2,3913.89,0.01,35775.0,391389.43
gostaria,2,3913.89,0.01,1459.0,391389.43
mensagem,2,3913.89,0.01,1216.0,391389.43
melhor,2,3913.89,0.01,118.0,391389.43
vou,2,3913.89,0.01,469.0,391389.43
oceano,2,3913.89,0.01,7193.0,391389.43
instagram,2,3913.89,0.01,10062.0,391389.43
nervosa,2,3913.89,0.01,14178.0,391389.43
carinhosa,2,3913.89,0.01,21335.0,391389.43
começando,2,3913.89,0.01,3779.0,391389.43
dividindo,2,3913.89,0.01,17508.0,391389.43
fortes,2,3913.89,0.01,1840.0,391389.43
dorme,2,3913.89,0.01,12176.0,391389.43
ok,2,3913.89,0.01,5211.0,391389.43
respostas,2,3913.89,0.01,2209.0,391389.43
lembro,2,3913.89,0.01,4137.0,391389.43
anos,2,3913.89,0.01,64.0,391389.43
oi,2,3913.89,0.01,11863.0,391389.43
pedir,2,3913.89,0.01,1649.0,391389.43
vi,2,3913.89,0.01,1166.0,391389.43
alguma,2,3913.89,0.01,410.0,391389.43
brasil,2,3913.89,0.01,2889.0,391389.43
estávamos,2,3913.89,0.01,5653.0,391389.43
amigos,2,3913.89,0.01,481.0,391389.43
família,2,3913.89,0.01,263.0,391389.43
ciumenta,2,3913.89,0.01,58914.0,391389.43
conforme,2,3913.89,0.01,793.0,391389.43
entrevista,2,3913.89,0.01,1267.0,391389.43
aconchegante,2,3913.89,0.01,8494.0,391389.43
encontrou,2,3913.89,0.01,3438.0,391389.43
junção,2,3913.89,0.01,11749.0,391389.43
jeito,2,3913.89,0.01,1322.0,391389.43
conversando,2,3913.89,0.01,8353.0,391389.43
tinha,2,3913.89,0.01,203.0,391389.43
muitas,2,3913.89,0.01,245.0,391389.43
fitness,2,3913.89,0.01,10513.0,391389.43
comigo,2,3913.89,0.01,1635.0,391389.43
imaginava,2,3913.89,0.01,10840.0,391389.43
califórnia,2,3913.89,0.01,117488.0,391389.43
surpreendeu,2,3913.89,0.01,9426.0,391389.43
sentir,2,3913.89,0.01,1161.0,391389.43
sensação,2,3913.89,0.01,1753.0,391389.43
casais,2,3913.89,0.01,4251.0,391389.43
fazendo,2,3913.89,0.01,490.0,391389.43
gosta,2,3913.89,0.01,1418.0,391389.43
futuro,2,3913.89,0.01,732.0,391389.43
diferente,2,3913.89,0.01,606.0,391389.43
faria,2,3913.89,0.01,4646.0,391389.43
disse,2,3913.89,0.01,204.0,391389.43
amada,2,3913.89,0.01,7831.0,391389.43
darem,2,3913.89,0.01,15439.0,391389.43
precisa,2,3913.89,0.01,343.0,391389.43
passamos,2,3913.89,0.01,6278.0,391389.43
ama,1,1956.95,0.01,3271.0,195694.72
cuida,1,1956.95,0.01,8867.0,195694.72
preocupa,1,1956.95,0.01,7877.0,195694.72
delas,1,1956.95,0.01,1164.0,195694.72
contou,1,1956.95,0.01,1604.0,195694.72
época,1,1956.95,0.01,471.0,195694.72
continuar,1,1956.95,0.01,1182.0,195694.72
contar,1,1956.95,0.01,1008.0,195694.72
prima,1,1956.95,0.01,5836.0,195694.72
contei,1,1956.95,0.01,16898.0,195694.72
valeu,1,1956.95,0.01,7725.0,195694.72
claro,1,1956.95,0.01,597.0,195694.72
coisinhas,1,1956.95,0.01,17565.0,195694.72
olhar,1,1956.95,0.01,1037.0,195694.72
comer,1,1956.95,0.01,1454.0,195694.72
curtas,1,1956.95,0.01,6908.0,195694.72
unidade,1,1956.95,0.01,1057.0,195694.72
curricular,1,1956.95,0.01,9587.0,195694.72
admiro,1,1956.95,0.01,17852.0,195694.72
visualização,1,1956.95,0.01,6941.0,195694.72
dados,1,1956.95,0.01,254.0,195694.72
