palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
distância,6,13186.81,900.0,1294.0,14.65
pessoa,5,10989.01,800.0,244.0,13.74
encontro,4,8791.21,0.01,881.0,879120.88
viver,4,8791.21,0.01,976.0,879120.88
amor,4,8791.21,600.0,357.0,14.65
vida,4,8791.21,550.0,90.0,15.98
juntas,4,8791.21,580.0,5482.0,15.16
importantes,4,8791.21,480.0,783.0,18.32
presente,4,8791.21,0.01,408.0,879120.88
história,4,8791.21,650.0,200.0,13.52
momentos,4,8791.21,460.0,819.0,19.11
mensagens,3,6593.41,0.01,2011.0,659340.66
começo,3,6593.41,0.01,1760.0,659340.66
atenção,3,6593.41,0.01,523.0,659340.66
lembra,3,6593.41,0.01,2772.0,659340.66
noite,3,6593.41,0.01,358.0,659340.66
carinho,3,6593.41,0.01,2385.0,659340.66
chamou,3,6593.41,0.01,3238.0,659340.66
vitória,3,6593.41,0.01,1237.0,659340.66
esperava,3,6593.41,0.01,4774.0,659340.66
perguntas,3,6593.41,0.01,2184.0,659340.66
queria,3,6593.41,0.01,975.0,659340.66
incrível,3,6593.41,0.01,1746.0,659340.66
sentimento,3,6593.41,0.01,2432.0,659340.66
difícil,3,6593.41,0.01,689.0,659340.66
junção,2,4395.6,0.01,11749.0,439560.44
carinhosa,2,4395.6,0.01,21335.0,439560.44
melhor,2,4395.6,0.01,118.0,439560.44
ciumenta,2,4395.6,0.01,58914.0,439560.44
engraçada,2,4395.6,0.01,16690.0,439560.44
gostaria,2,4395.6,0.01,1459.0,439560.44
ok,2,4395.6,0.01,5211.0,439560.44
dorme,2,4395.6,0.01,12176.0,439560.44
aconchegante,2,4395.6,0.01,8494.0,439560.44
dividindo,2,4395.6,0.01,17508.0,439560.44
precisa,2,4395.6,0.01,343.0,439560.44
darem,2,4395.6,0.01,15439.0,439560.44
gosta,2,4395.6,0.01,1418.0,439560.44
futuro,2,4395.6,0.01,732.0,439560.44
começando,2,4395.6,0.01,3779.0,439560.44
califórnia,2,4395.6,0.01,117488.0,439560.44
fazendo,2,4395.6,0.01,490.0,439560.44
amada,2,4395.6,0.01,7831.0,439560.44
sentir,2,4395.6,0.01,1161.0,439560.44
pedir,2,4395.6,0.01,1649.0,439560.44
casais,2,4395.6,0.01,4251.0,439560.44
tinha,2,4395.6,0.01,203.0,439560.44
conforme,2,4395.6,0.01,793.0,439560.44
conversando,2,4395.6,0.01,8353.0,439560.44
imaginava,2,4395.6,0.01,10840.0,439560.44
brasil,2,4395.6,0.01,2889.0,439560.44
encontrou,2,4395.6,0.01,3438.0,439560.44
sensação,2,4395.6,0.01,1753.0,439560.44
família,2,4395.6,0.01,263.0,439560.44
jeito,2,4395.6,0.01,1322.0,439560.44
fortes,2,4395.6,0.01,1840.0,439560.44
começamos,2,4395.6,0.01,8179.0,439560.44
muitas,2,4395.6,0.01,245.0,439560.44
passamos,2,4395.6,0.01,6278.0,439560.44
nervosa,2,4395.6,0.01,14178.0,439560.44
diferente,2,4395.6,0.01,606.0,439560.44
estávamos,2,4395.6,0.01,5653.0,439560.44
surpreendeu,2,4395.6,0.01,9426.0,439560.44
alguma,2,4395.6,0.01,410.0,439560.44
faria,2,4395.6,0.01,4646.0,439560.44
amigos,2,4395.6,0.01,481.0,439560.44
vou,2,4395.6,0.01,469.0,439560.44
relacionamento,2,4395.6,0.01,1557.0,439560.44
fitness,2,4395.6,0.01,10513.0,439560.44
disse,2,4395.6,0.01,204.0,439560.44
comigo,2,4395.6,0.01,1635.0,439560.44
vi,2,4395.6,0.01,1166.0,439560.44
oceano,2,4395.6,0.01,7193.0,439560.44
quiz,2,4395.6,0.01,35775.0,439560.44
respostas,2,4395.6,0.01,2209.0,439560.44
anos,2,4395.6,0.01,64.0,439560.44
instagram,2,4395.6,0.01,10062.0,439560.44
lembro,2,4395.6,0.01,4137.0,439560.44
oi,2,4395.6,0.01,11863.0,439560.44
mensagem,2,4395.6,0.01,1216.0,439560.44
ramos,2,4395.6,0.01,7635.0,439560.44
entrevista,2,4395.6,0.01,1267.0,439560.44
motta,1,2197.8,0.01,154029.0,219780.22
descrição,1,2197.8,0.01,3464.0,219780.22
revelam,1,2197.8,0.01,8001.0,219780.22
namorada,1,2197.8,0.01,5105.0,219780.22
perfeito,1,2197.8,0.01,1556.0,219780.22
conversa,1,2197.8,0.01,1874.0,219780.22
internet,1,2197.8,0.01,613.0,219780.22
inicialmente,1,2197.8,0.01,3169.0,219780.22
apresentar,1,2197.8,0.01,1023.0,219780.22
nome,1,2197.8,0.01,211.0,219780.22
moro,1,2197.8,0.01,8948.0,219780.22
portugal,1,2197.8,0.01,11591.0,219780.22
brasileira,1,2197.8,0.01,678.0,219780.22
há,1,2197.8,0.01,114.0,219780.22
digitais,1,2197.8,0.01,2950.0,219780.22
chamei,1,2197.8,0.01,27647.0,219780.22
tema,1,2197.8,0.01,593.0,219780.22
pergunta,1,2197.8,0.01,1671.0,219780.22
diferença,1,2197.8,0.01,927.0,219780.22
existe,1,2197.8,0.01,529.0,219780.22
detalhe,1,2197.8,0.01,3504.0,219780.22
casal,1,2197.8,0.01,1334.0,219780.22
separei,1,2197.8,0.01,24984.0,219780.22
denominei,1,2197.8,0.01,213054.0,219780.22
curtas,1,2197.8,0.01,6908.0,219780.22
particularidades,1,2197.8,0.01,13506.0,219780.22
qualidades,1,2197.8,0.01,5210.0,219780.22
defeitos,1,2197.8,0.01,6291.0,219780.22
escolhemos,1,2197.8,0.01,14611.0,219780.22
amigas,1,2197.8,0.01,4151.0,219780.22
namoradas,1,2197.8,0.01,34503.0,219780.22
parceiras,1,2197.8,0.01,12639.0,219780.22
amam,1,2197.8,0.01,9253.0,219780.22
diferentes,1,2197.8,0.01,336.0,219780.22
combinam,1,2197.8,0.01,11743.0,219780.22
quis,1,2197.8,0.01,2944.0,219780.22
sabia,1,2197.8,0.01,1550.0,219780.22
precisava,1,2197.8,0.01,3968.0,219780.22
sinta,1,2197.8,0.01,7812.0,219780.22
conhecemos,1,2197.8,0.01,5481.0,219780.22
datas,1,2197.8,0.01,3554.0,219780.22
lembramos,1,2197.8,0.01,23940.0,219780.22
gosto,1,2197.8,0.01,828.0,219780.22
salgadinho,1,2197.8,0.01,60754.0,219780.22
descrever,1,2197.8,0.01,5658.0,219780.22
fotos,1,2197.8,0.01,639.0,219780.22
contou,1,2197.8,0.01,1604.0,219780.22
época,1,2197.8,0.01,471.0,219780.22
continuar,1,2197.8,0.01,1182.0,219780.22
contei,1,2197.8,0.01,16898.0,219780.22
prima,1,2197.8,0.01,5836.0,219780.22
mora,1,2197.8,0.01,3600.0,219780.22
saí,1,2197.8,0.01,11999.0,219780.22
desembarque,1,2197.8,0.01,15599.0,219780.22
esperando,1,2197.8,0.01,3229.0,219780.22
porta,1,2197.8,0.01,1124.0,219780.22
errada,1,2197.8,0.01,6762.0,219780.22
achei,1,2197.8,0.01,1803.0,219780.22
encontrar,1,2197.8,0.01,497.0,219780.22
encontramos,1,2197.8,0.01,4104.0,219780.22
mesma,1,2197.8,0.01,277.0,219780.22
sentisse,1,2197.8,0.01,30975.0,219780.22
ficou,1,2197.8,0.01,420.0,219780.22
viu,1,2197.8,0.01,1497.0,219780.22
sentiu,1,2197.8,0.01,6123.0,219780.22
fiquei,1,2197.8,0.01,1509.0,219780.22
ansiosa,1,2197.8,0.01,10450.0,219780.22
falar,1,2197.8,0.01,409.0,219780.22
presencial,1,2197.8,0.01,9107.0,219780.22
conversas,1,2197.8,0.01,4833.0,219780.22
tivéssemos,1,2197.8,0.01,18659.0,219780.22
sintonia,1,2197.8,0.01,10070.0,219780.22
realmente,1,2197.8,0.01,512.0,219780.22
presencialmente,1,2197.8,0.01,27693.0,219780.22
fluiu,1,2197.8,0.01,64769.0,219780.22
natural,1,2197.8,0.01,666.0,219780.22
conhecíamos,1,2197.8,0.01,44425.0,219780.22
compartilhar,1,2197.8,0.01,2401.0,219780.22
perceber,1,2197.8,0.01,1807.0,219780.22
daquilo,1,2197.8,0.01,5512.0,219780.22
reviver,1,2197.8,0.01,18887.0,219780.22
passou,1,2197.8,0.01,616.0,219780.22
olhar,1,2197.8,0.01,1037.0,219780.22
trás,1,2197.8,0.01,1555.0,219780.22
viveu,1,2197.8,0.01,4772.0,219780.22
teto,1,2197.8,0.01,4304.0,219780.22
tornou,1,2197.8,0.01,1645.0,219780.22
significativo,1,2197.8,0.01,5708.0,219780.22
pessoalmente,1,2197.8,0.01,4559.0,219780.22
seja,1,2197.8,0.01,126.0,219780.22
exatamente,1,2197.8,0.01,1358.0,219780.22
pudesse,1,2197.8,0.01,3335.0,219780.22
amava,1,2197.8,0.01,12382.0,219780.22
direção,1,2197.8,0.01,890.0,219780.22
surreal,1,2197.8,0.01,23249.0,219780.22
mágico,1,2197.8,0.01,7145.0,219780.22
valeu,1,2197.8,0.01,7725.0,219780.22
pena,1,2197.8,0.01,752.0,219780.22
paz,1,2197.8,0.01,1422.0,219780.22
tranquilidade,1,2197.8,0.01,4340.0,219780.22
especiais,1,2197.8,0.01,1366.0,219780.22
prazer,1,2197.8,0.01,1552.0,219780.22
fazíamos,1,2197.8,0.01,33013.0,219780.22
surpresa,1,2197.8,0.01,2470.0,219780.22
ligações,1,2197.8,0.01,4321.0,219780.22
conseguimos,1,2197.8,0.01,3969.0,219780.22
hábito,1,2197.8,0.01,4575.0,219780.22
mostrou,1,2197.8,0.01,2451.0,219780.22
aliás,1,2197.8,0.01,4279.0,219780.22
período,1,2197.8,0.01,314.0,219780.22
distantes,1,2197.8,0.01,8099.0,219780.22
perdíamos,1,2197.8,0.01,156038.0,219780.22
aniversários,1,2197.8,0.01,19735.0,219780.22
acordar,1,2197.8,0.01,6671.0,219780.22
dividir,1,2197.8,0.01,5317.0,219780.22
rotina,1,2197.8,0.01,2329.0,219780.22
desfrutar,1,2197.8,0.01,4520.0,219780.22
agradeço,1,2197.8,0.01,6983.0,219780.22
atenciosidade,1,2197.8,0.01,,219780.22
trocando,1,2197.8,0.01,13713.0,219780.22
comentei,1,2197.8,0.01,17507.0,219780.22
foto,1,2197.8,0.01,1033.0,219780.22
passados,1,2197.8,0.01,8402.0,219780.22
mandou,1,2197.8,0.01,5022.0,219780.22
cantada,1,2197.8,0.01,18300.0,219780.22
conversar,1,2197.8,0.01,3398.0,219780.22
pedi,1,2197.8,0.01,8694.0,219780.22
