palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
entrevistada,33,57192.37,0.01,39031.0,5719237.44
entrevistadora,33,57192.37,0.01,113285.0,5719237.44
pra,10,17331.02,1700.0,161.0,10.19
dia,8,13864.82,1500.0,67.0,9.24
gente,7,12131.72,1400.0,309.0,8.67
coisas,6,10398.61,1300.0,269.0,8.0
distância,6,10398.61,900.0,1294.0,11.55
dias,5,8665.51,850.0,144.0,10.19
pessoa,5,8665.51,800.0,244.0,10.83
mim,4,6932.41,750.0,380.0,9.24
certo,4,6932.41,730.0,573.0,9.5
fosse,4,6932.41,700.0,654.0,9.9
história,4,6932.41,650.0,200.0,10.67
amor,4,6932.41,600.0,357.0,11.55
juntas,4,6932.41,580.0,5482.0,11.95
vida,4,6932.41,550.0,90.0,12.6
hoje,4,6932.41,530.0,163.0,13.08
pro,4,6932.41,500.0,1998.0,13.86
importantes,4,6932.41,480.0,783.0,14.44
momentos,4,6932.41,460.0,819.0,15.07
