palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
distância,6,13186.81,900.0,1294.0,14.65
pessoa,5,10989.01,800.0,244.0,13.74
encontro,4,8791.21,0.01,881.0,879120.88
viver,4,8791.21,0.01,976.0,879120.88
amor,4,8791.21,600.0,357.0,14.65
vida,4,8791.21,550.0,90.0,15.98
juntas,4,8791.21,580.0,5482.0,15.16
importantes,4,8791.21,480.0,783.0,18.32
presente,4,8791.21,0.01,408.0,879120.88
história,4,8791.21,650.0,200.0,13.52
momentos,4,8791.21,460.0,819.0,19.11
mensagens,3,6593.41,0.01,2011.0,659340.66
começo,3,6593.41,0.01,1760.0,659340.66
atenção,3,6593.41,0.01,523.0,659340.66
lembra,3,6593.41,0.01,2772.0,659340.66
noite,3,6593.41,0.01,358.0,659340.66
carinho,3,6593.41,0.01,2385.0,659340.66
chamou,3,6593.41,0.01,3238.0,659340.66
vitória,3,6593.41,0.01,1237.0,659340.66
esperava,3,6593.41,0.01,4774.0,659340.66
